date,month_name,year,division_name,index,summary
2018-01-01,January,2018,Overall,118.1,"On January 2018, the Core CPI for Overall was 118.1."
2018-02-01,February,2018,Overall,118.3,"On February 2018, the Core CPI for Overall was 118.3."
2018-03-01,March,2018,Overall,118.3,"On March 2018, the Core CPI for Overall was 118.3."
2018-04-01,April,2018,Overall,118.4,"On April 2018, the Core CPI for Overall was 118.4."
2018-05-01,May,2018,Overall,118.6,"On May 2018, the Core CPI for Overall was 118.6."
2018-06-01,June,2018,Overall,116.9,"On June 2018, the Core CPI for Overall was 116.9."
2018-07-01,July,2018,Overall,116.9,"On July 2018, the Core CPI for Overall was 116.9."
2018-08-01,August,2018,Overall,117.2,"On August 2018, the Core CPI for Overall was 117.2."
2018-09-01,September,2018,Overall,117.9,"On September 2018, the Core CPI for Overall was 117.9."
2018-10-01,October,2018,Overall,118.1,"On October 2018, the Core CPI for Overall was 118.1."
2018-11-01,November,2018,Overall,118.4,"On November 2018, the Core CPI for Overall was 118.4."
2018-12-01,December,2018,Overall,118.4,"On December 2018, the Core CPI for Overall was 118.4."
2019-01-01,January,2019,Overall,118.3,"On January 2019, the Core CPI for Overall was 118.3."
2019-02-01,February,2019,Overall,118.6,"On February 2019, the Core CPI for Overall was 118.6."
2019-03-01,March,2019,Overall,118.9,"On March 2019, the Core CPI for Overall was 118.9."
2019-04-01,April,2019,Overall,119.0,"On April 2019, the Core CPI for Overall was 119.0."
2019-05-01,May,2019,Overall,119.1,"On May 2019, the Core CPI for Overall was 119.1."
2019-06-01,June,2019,Overall,119.1,"On June 2019, the Core CPI for Overall was 119.1."
2019-07-01,July,2019,Overall,119.2,"On July 2019, the Core CPI for Overall was 119.2."
2019-08-01,August,2019,Overall,119.5,"On August 2019, the Core CPI for Overall was 119.5."
2019-09-01,September,2019,Overall,119.7,"On September 2019, the Core CPI for Overall was 119.7."
2019-10-01,October,2019,Overall,119.8,"On October 2019, the Core CPI for Overall was 119.8."
2019-11-01,November,2019,Overall,120.1,"On November 2019, the Core CPI for Overall was 120.1."
2019-12-01,December,2019,Overall,120.1,"On December 2019, the Core CPI for Overall was 120.1."
2020-01-01,January,2020,Overall,120.2,"On January 2020, the Core CPI for Overall was 120.2."
2020-02-01,February,2020,Overall,120.1,"On February 2020, the Core CPI for Overall was 120.1."
2020-03-01,March,2020,Overall,120.4,"On March 2020, the Core CPI for Overall was 120.4."
2020-04-01,April,2020,Overall,120.5,"On April 2020, the Core CPI for Overall was 120.5."
2020-05-01,May,2020,Overall,120.4,"On May 2020, the Core CPI for Overall was 120.4."
2020-06-01,June,2020,Overall,120.5,"On June 2020, the Core CPI for Overall was 120.5."
2020-07-01,July,2020,Overall,120.5,"On July 2020, the Core CPI for Overall was 120.5."
2020-08-01,August,2020,Overall,120.8,"On August 2020, the Core CPI for Overall was 120.8."
2020-09-01,September,2020,Overall,120.9,"On September 2020, the Core CPI for Overall was 120.9."
2020-10-01,October,2020,Overall,120.8,"On October 2020, the Core CPI for Overall was 120.8."
2020-11-01,November,2020,Overall,120.9,"On November 2020, the Core CPI for Overall was 120.9."
2020-12-01,December,2020,Overall,120.9,"On December 2020, the Core CPI for Overall was 120.9."
2021-01-01,January,2021,Overall,121.0,"On January 2021, the Core CPI for Overall was 121.0."
2021-02-01,February,2021,Overall,121.0,"On February 2021, the Core CPI for Overall was 121.0."
2021-03-01,March,2021,Overall,121.2,"On March 2021, the Core CPI for Overall was 121.2."
2021-04-01,April,2021,Overall,121.3,"On April 2021, the Core CPI for Overall was 121.3."
2021-05-01,May,2021,Overall,121.4,"On May 2021, the Core CPI for Overall was 121.4."
2021-06-01,June,2021,Overall,121.4,"On June 2021, the Core CPI for Overall was 121.4."
2021-07-01,July,2021,Overall,121.3,"On July 2021, the Core CPI for Overall was 121.3."
2021-08-01,August,2021,Overall,121.5,"On August 2021, the Core CPI for Overall was 121.5."
2021-09-01,September,2021,Overall,121.6,"On September 2021, the Core CPI for Overall was 121.6."
2021-10-01,October,2021,Overall,121.6,"On October 2021, the Core CPI for Overall was 121.6."
2021-11-01,November,2021,Overall,122.0,"On November 2021, the Core CPI for Overall was 122.0."
2021-12-01,December,2021,Overall,122.2,"On December 2021, the Core CPI for Overall was 122.2."
2022-01-01,January,2022,Overall,122.9,"On January 2022, the Core CPI for Overall was 122.9."
2022-02-01,February,2022,Overall,123.2,"On February 2022, the Core CPI for Overall was 123.2."
